title,author,rating,summary,genres,cover_url,url
The Clan of the Cave Bear,Jean M. Auel,4.1,"This novel of awesome beauty and power is a moving saga about people, relationships, and the boundaries of love. Through Jean M. Auels magnificent storytelling we are taken back to the dawn of modern humans, and with a girl named Ayla we are swept up in the harsh and beautiful Ice Age world they shared with the ones who called themselves The Clan of the Cave Bear.A natural disaster leaves the young girl wandering alone in an unfamiliar and dangerous land until she is found by a woman of the Clan, people very different from her own kind. To them, blond, blue-eyed Ayla looks peculiar and ugly--she is one of the Others, those who have moved into their ancient homeland; but Iza cannot leave the girl to die and takes her with them. Iza and Creb, the old Mog-ur, grow to love her, and as Ayla learns the ways of the Clan and Izas way of healing, most come to accept her. But the brutal and proud youth who is destined to become their next leader sees her differences as a threat to his authority. He develops a deep and abiding hatred for the strange girl of the Others who lives in their midst, and is determined to get his revenge.","['Historical Fiction', 'Fiction', 'Fantasy', 'Historical', 'Classics', 'Adventure', 'Prehistoric']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1529681430i/40611463.jpg,https://www.goodreads.com/book/show/40611463-the-clan-of-the-cave-bear
World Without End,Ken Follett,4.32,"Librarian's note: An alternate cover edition can be found hereWorld Without End takes place in the same town of Kingsbridge, two centuries after the townspeople finished building the exquisite Gothic cathedral that was at the heart of The Pillars of the Earth. The cathedral and the priory are again at the center of a web of love and hate, greed and pride, ambition and revenge, but this sequel stands on its own. This time the men and women of an extraordinary cast of characters find themselves at a crossroads of new ideasabout medicine, commerce, architecture, and justice. In a world where proponents of the old ways fiercely battle those with progressive minds, the intrigue and tension quickly reach a boiling point against the devastating backdrop of the greatest natural disaster ever to strike the human racethe Black Death.","['Historical Fiction', 'Fiction', 'Historical', 'Audiobook', 'Medieval', 'British Literature', 'Fantasy']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1509545511i/5064.jpg,https://www.goodreads.com/book/show/5064.World_Without_End
Snow Flower and the Secret Fan,Lisa See,4.09,"In nineteenth-century China, in a remote Hunan county, a girl named Lily, at the tender age of seven, is paired with a laotong, old same, in an emotional match that will last a lifetime. The laotong, Snow Flower, introduces herself by sending Lily a silk fan on which shes painted a poem in nu shu, a unique language that Chinese women created in order to communicate in secret, away from the influence of men.As the years pass, Lily and Snow Flower send messages on fans, compose stories on handkerchiefs, reaching out of isolation to share their hopes, dreams, and accomplishments. Together, they endure the agony of foot-binding, and reflect upon their arranged marriages, shared loneliness, and the joys and tragedies of motherhood. The two find solace, developing a bond that keeps their spirits alive. But when a misunderstanding arises, their deep friendship suddenly threatens to tear apart.","['Historical Fiction', 'Fiction', 'China', 'Historical', 'Book Club', 'Adult', 'Asian Literature']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1532005164i/40873273.jpg,https://www.goodreads.com/book/show/40873273-snow-flower-and-the-secret-fan
Dragonfly in Amber,Diana Gabaldon,4.34,"An alternate cover edition can be found here.From the author of Outlander... a magnificent epic that once again sweeps us back in time to the drama and passion of 18th-century Scotland...For twenty years Claire Randall has kept her secrets. But now she is returning with her grown daughter to Scotland's majestic mist-shrouded hills. Here Claire plans to reveal a truth as stunning as the events that gave it birth: about the mystery of an ancient circle of standing stones ...about a love that transcends the boundaries of time ...and about James Fraser, a Scottish warrior whose gallantry once drew a young Claire from the security of her century to the dangers of his ....Now a legacy of blood and desire will test her beautiful copper-haired daughter, Brianna, as Claire's spellbinding journey of self-discovery continues in the intrigue-ridden Paris court of Charles Stuart ...in a race to thwart a doomed Highlands uprising ...and in a desperate fight to save both the child and the man she loves....","['Historical Fiction', 'Romance', 'Fantasy', 'Fiction', 'Time Travel', 'Historical', 'Historical Romance']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1456114344i/5364.jpg,https://www.goodreads.com/book/show/5364.Dragonfly_in_Amber
The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,4.19,"#1 NEW YORK TIMES BESTSELLER - NOW A MAJOR MOTION PICTURE ON NETFLIX - A remarkable tale of the island of Guernsey during the German Occupation, and of a society as extraordinary as its name. ""I wonder how the book got to Guernsey? Perhaps there is some sort of secret homing instinct in books that brings them to their perfect readers."" January 1946: London is emerging from the shadow of the Second World War, and writer Juliet Ashton is looking for her next book subject. Who could imagine that she would find it in a letter from a man she's never met, a native of the island of Guernsey, who has come across her name written inside a book by Charles Lamb...As Juliet and her new correspondent exchange letters, Juliet is drawn into the world of this man and his friendsand what a wonderfully eccentric world it is. The Guernsey Literary and Potato Peel Pie Societyborn as a spur-of-the-moment alibi when its members were discovered breaking curfew by the Germans occupying their islandboasts a charming, funny, deeply human cast of characters, from pig farmers to phrenologists, literature lovers all.Juliet begins a remarkable correspondence with the society's members, learning about their island, their taste in books, and the impact the recent German occupation has had on their lives. Captivated by their stories, she sets sail for Guernsey, and what she finds will change her forever.Written with warmth and humor as a series of letters, this novel is a celebration of the written word in all its guises and of finding connection in the most surprising ways.","['Historical Fiction', 'Fiction', 'Romance', 'Historical', 'World War II', 'Audiobook', 'Book Club']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1529026760i/39832183.jpg,https://www.goodreads.com/book/show/39832183-the-guernsey-literary-and-potato-peel-pie-society
Cold Mountain,Charles Frazier,3.89,"Cold Mountain is a novel about a soldiers perilous journey back to his beloved near the Civil War's end. At once a love story & a harrowing account of one mans long walk home, Cold Mountain introduces a new talent in American literature.Based on local history & family stories passed down by Fraziers great-great-grandfather, Cold Mountain is the tale of a wounded Confederate soldier, Inman, who walks away from the ravages of the war & back home to his prewar sweetheart, Ada. His odyssey thru the devastated landscape of the soon-to-be-defeated South interweaves with Adas struggle to revive her fathers farm, with the help of an intrepid young drifter named Ruby. As their long-separated lives begin to converge at the close of the war, Inman & Ada confront the vastly transformed world theyve been delivered.Frazier reveals insight into human relations with the land & the dangers of solitude. He also shares with the great 19th century novelists a keen observation of a society undergoing change. Cold Mountain recreates a world gone by that speaks to our time.","['Historical Fiction', 'Fiction', 'Historical', 'Romance', 'Civil War', 'War', 'Classics']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1442416348i/10920.jpg,https://www.goodreads.com/book/show/10920.Cold_Mountain
Roots: The Saga of an American Family,Alex Haley,4.44,"When he was a boy in Henning, Tennessee, Alex Haley's grandmother used to tell him stories about their familystories that went back to her grandparents, and their grandparents, down through the generations all the way to a man she called ""the African."" She said he had lived across the ocean near what he called the ""Kamby Bolongo"" and had been out in the forest one day chopping wood to make a drum when he was set upon by four men, beaten, chained and dragged aboard a slave ship bound for Colonial America.Still vividly remembering the stories after he grew up and became a writer, Haley began to search for documentation that might authenticate the narrative. It took ten years and a half a million miles of travel across three continents to find it, but finally, in an astonishing feat of genealogical detective work, he discovered not only the name of ""the African""Kunta Kintebut the precise location of Juffure, the very village in The Gambia, West Africa, from which he was abducted in 1767 at the age of sixteen and taken on the Lord Ligonier to Maryland and sold to a Virginia planter.Haley has talked in Juffure with his own African sixth cousins. On September 29, 1967, he stood on the dock in Annapolis where his great-great-great-great-grandfather was taken ashore on September 29, 1767. Now he has written the monumental two-century drama of Kunta Kinte and the six generations who came after himslaves and freedmen, farmers and blacksmiths, lumber mill workers and Pullman porters, lawyers and architectsand one author.But Haley has done more than recapture the history of his own family. As the first black American writer to trace his origins back to their roots, he has told the story of 25,000,000 Americans of African descent. He has rediscovered for an entire people a rich cultural heritage that slavery took away from them, along with their names and their identities. But Roots speaks, finally, not just to blacks, or to whites, but to all people and all races everywhere, for the story it tells is one of the most eloquent testimonials ever written to the indomitability of the human spirit.","['Historical Fiction', 'Fiction', 'Classics', 'Historical', 'African American', 'Africa', 'Race']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1329398936i/546018.jpg,https://www.goodreads.com/book/show/546018.Roots
All the Light We Cannot See,Anthony Doerr,4.31,"Marie-Laure lives in Paris near the Museum of Natural History, where her father works. When she is twelve, the Nazis occupy Paris and father and daughter flee to the walled citadel of Saint-Malo, where Marie-Laures reclusive great uncle lives in a tall house by the sea. With them they carry what might be the museums most valuable and dangerous jewel.In a mining town in Germany, Werner Pfennig, an orphan, grows up with his younger sister, enchanted by a crude radio they find that brings them news and stories from places they have never seen or imagined. Werner becomes an expert at building and fixing these crucial new instruments and is enlisted to use his talent to track down the resistance. Deftly interweaving the lives of Marie-Laure and Werner, Doerr illuminates the ways, against all odds, people try to be good to one another.From the highly acclaimed, multiple award-winning Anthony Doerr, the stunningly beautiful instant New York Times bestseller about a blind French girl and a German boy whose paths collide in occupied France as both try to survive the devastation of World War II.An alternate cover for this ISBN can be found here","['Historical Fiction', 'Fiction', 'Historical', 'War', 'World War II', 'Audiobook', 'Adult']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1451445646i/18143977.jpg,https://www.goodreads.com/book/show/18143977-all-the-light-we-cannot-see
Year of Wonders,Geraldine Brooks,4.01,"When an infected bolt of cloth carries plague from London to an isolated village, a housemaid named Anna Frith emerges as an unlikely heroine and healer. Through Anna's eyes we follow the story of the fateful year of 1666, as she and her fellow villagers confront the spread of disease and superstition. As death reaches into every household and villagers turn from prayers to murderous witch-hunting, Anna must find the strength to confront the disintegration of her community and the lure of illicit love. As she struggles to survive and grow, a year of catastrophe becomes instead annus mirabilis, a ""year of wonders.""  Inspired by the true story of Eyam, a village in the rugged hill country of England, Year of Wonders is a richly detailed evocation of a singular moment in history.","['Historical Fiction', 'Fiction', 'Historical', 'British Literature', 'Audiobook', 'Book Club', 'Adult']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1678314640i/4965.jpg,https://www.goodreads.com/book/show/4965.Year_of_Wonders
Drums of Autumn,Diana Gabaldon,4.35,"In this breathtaking novelrich in history and adventureThe New York Times bestselling author Diana Gabaldon continues the story of Claire Randall and Jamie Fraser that began with the now-classic novel Outlander and continued in Dragonfly in Amber and Voyager. Once again spanning continents and centuries, Diana Gabaldon has created a work of sheer passion and brilliance.... It began at an ancient Scottish stone circle. There, a doorway, open to a select few, leads into the pastor the grave. Dr. Claire Randall survived the extraordinary passage, not once but twice.Her first trip swept her into the arms of Jamie Fraser, an eighteenth-century Scot whose love for her became a legenda tale of tragic passion that ended with her return to the present to bear his child. Her second journey, two decades later, brought them together again in the American colonies. But Claire had left someone behind in the twentieth centurytheir daughter, Brianna....Now Brianna has made a disturbing discovery that sends her to the circle of stones and a terrifying leap into the unknown. In search of her mother and the father she has never met, she is risking her own future to try to change history ... and to save their lives. But as Brianna plunges into an uncharted wilderness, a heartbreaking encounter may strand her forever in the past ... or root her in the place she should be, where her heart and soul belong....","['Historical Fiction', 'Romance', 'Fantasy', 'Fiction', 'Time Travel', 'Historical', 'Historical Romance']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1500688941i/10988.jpg,https://www.goodreads.com/book/show/10988.Drums_of_Autumn
The Crucible,Arthur Miller,3.61,"""I believe that the reader will discover here the essential nature of one of the strangest and most awful chapters in human history,"" Arthur Miller wrote of his classic play about the witch-hunts and trials in seventeenth-century Salem, Massachusetts. Based on historical people and real events, Miller's drama is a searing portrait of a community engulfed by hysteria. In the rigid theocracy of Salem, rumors that women are practicing witchcraft galvanize the town's most basic fears and suspicions; and when a young girl accuses Elizabeth Proctor of being a witch, self-righteous church leaders and townspeople insist that Elizabeth be brought to trial. The ruthlessness of the prosecutors and the eagerness of neighbor to testify against neighbor brilliantly illuminates the destructive power of socially sanctioned violence.Written in 1953, The Crucible is a mirror Miller uses to reflect the anti-communist hysteria inspired by Senator Joseph McCarthy's ""witch-hunts"" in the United States. Within the text itself, Miller contemplates the parallels, writing, ""Political opposition... is given an inhumane overlay, which then justifies the abrogation of all normally applied customs of civilized behavior. A political policy is equated with moral right, and opposition to it with diabolical malevolence.""WIth an introduction by Christopher Bigsby.(back cover)","['Classics', 'Plays', 'Fiction', 'Historical Fiction', 'School', 'Read For School', 'Historical']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1547467608i/17250.jpg,https://www.goodreads.com/book/show/17250.The_Crucible
The Alienist,Caleb Carr,4.06,"The year is 1896, the place, New York City. On a cold March night New York Times reporter John Schuyler Moore is summoned to the East River by his friend and former Harvard classmate Dr. Laszlo Kreizler, a psychologist, or ""alienist."" On the unfinished Williamsburg Bridge, they view the horribly mutilated body of an adolescent boy, a prostitute from one of Manhattan's infamous brothels.The newly appointed police commissioner, Theodore Roosevelt, in a highly unorthodox move, enlists the two men in the murder investigation, counting on the reserved Kreizler's intellect and Moore's knowledge of New York's vast criminal underworld. They are joined by Sara Howard, a brave and determined woman who works as a secretary in the police department. Laboring in secret (for alienists, and the emerging discipline of psychology, are viewed by the public with skepticism at best), the unlikely team embarks on what is a revolutionary effort in criminology-- amassing a psychological profile of the man they're looking for based on the details of his crimes. Their dangerous quest takes them into the tortured past and twisted mind of a murderer who has killed before--and will kill again before the hunt is over.Fast-paced and gripping, infused with a historian's exactitude, The Alienist conjures up the Gilded Age and its untarnished underside: verminous tenements and opulent mansions, corrupt cops and flamboyant gangsters, shining opera houses and seamy gin mills. Here is a New York during an age when questioning society's belief that all killers are born, not made, could have unexpected and mortal consequences.","['Historical Fiction', 'Mystery', 'Fiction', 'Thriller', 'Crime', 'Historical', 'Mystery Thriller']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388256626i/40024.jpg,https://www.goodreads.com/book/show/40024.The_Alienist
The Fiery Cross,Diana Gabaldon,4.26,"The year is 1771, and war is coming. Jamie Frasers wife tells him so. Little as he wishes to, he must believe it, for hers is a gift of dreadful prophecya time-travelers certain knowledge. Claires unique view of the future has brought him both danger and deliverance in the past; her knowledge of the oncoming revolution is a flickering torch that may light his way through the perilous years aheador ignite a conflagration that will leave their lives in ashes.","['Historical Fiction', 'Romance', 'Fantasy', 'Fiction', 'Time Travel', 'Historical', 'Historical Romance']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1407366842i/10967.jpg,https://www.goodreads.com/book/show/10967.The_Fiery_Cross
A Breath of Snow and Ashes,Diana Gabaldon,4.44,"A Breath of Snow and Ashes continues the extraordinary story of 18th-century Scotsman Jamie Fraser and his 20th-century wife, Claire.The year is 1772, and on the eve of the American Revolution, the long fuse of rebellion has already been lit. Men lie dead in the streets of Boston, and in the backwoods of North Carolina, isolated cabins burn in the forest.With chaos brewing, the governor calls upon Jamie Fraser to unite the backcountry and safeguard the colony for King and Crown. But from his wife Jamie knows that three years hence the shot heard round the world will be fired, and the result will be independence  with those loyal to the King either dead or in exile. And there is also the matter of a tiny clipping from The Wilmington Gazette, dated 1776, which reports Jamies death, along with his kin. For once, he hopes, his time-traveling family may be wrong about the future.","['Historical Fiction', 'Romance', 'Fantasy', 'Fiction', 'Time Travel', 'Historical', 'Historical Romance']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1734099153i/10965.jpg,https://www.goodreads.com/book/show/10965.A_Breath_of_Snow_and_Ashes
The Boy in the Striped Pajamas,John Boyne,4.16,"If you start to read this book, you will go on a journey with a nine-year-old boy named Bruno. (Though this isn't a book for nine-year-olds.) And sooner or later you will arrive with Bruno at a fence.Fences like this exist all over the world. We hope you never have to encounter one.","['Historical Fiction', 'Fiction', 'Young Adult', 'Historical', 'Holocaust', 'War', 'World War II']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1366228171i/39999.jpg,https://www.goodreads.com/book/show/39999.The_Boy_in_the_Striped_Pajamas
Like Water for Chocolate,Laura Esquivel,3.95,"Earthy, magical, and utterly charming, this tale of family life in turn-of-the-century Mexico became a best-selling phenomenon with its winning blend of poignant romance and bittersweet wit.The number one bestseller in Mexico and America for almost two years, and subsequently a bestseller around the world, Like Water For Chocolate is a romantic, poignant tale, touched with moments of magic, graphic earthiness, bittersweet wit - and recipes. A sumptuous feast of a novel, it relates the bizarre history of the all-female De La Garza family. Tita, the youngest daughter of the house, has been forbidden to marry, condemned by Mexican tradition to look after her mother until she dies. But Tita falls in love with Pedro, and he is seduced by the magical food she cooks. In desperation, Pedro marries her sister Rosaura so that he can stay close to her, so that Tita and Pedro are forced to circle each other in unconsummated passion. Only a freakish chain of tragedies, bad luck and fate finally reunite them against all the odds.","['Fiction', 'Magical Realism', 'Romance', 'Historical Fiction', 'Classics', 'Fantasy', 'Spanish Literature']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1550721459i/6952.jpg,https://www.goodreads.com/book/show/6952.Like_Water_for_Chocolate
Fall of Giants,Ken Follett,4.32,"This is an epic of love, hatred, war and revolution. This is a huge novel that follows five families through the world-shaking dramas of the First World War, the Russian Revolution, and the struggle for votes for women.
It is 1911. The Coronation Day of King George V. The Williams, a Welsh coal-mining family is linked by romance and enmity to the Fitzherberts, aristocratic coal-mine owners. Lady Maud Fitzherbert falls in love with Walter von Ulrich, a spy at the German Embassy in London. Their destiny is entangled with that of an ambitious young aide to U.S. President Woodrow Wilson and to two orphaned Russian brothers, whose plans to emigrate to America fall foul of war, conscription and revolution. In a plot of unfolding drama and intriguing complexity, ""Fall Of Giants"" moves seamlessly from Washington to St Petersburg, from the dirt and danger of a coal mine to the glittering chandeliers of a palace, from the corridors of power to the bedrooms of the mighty.","['Historical Fiction', 'Fiction', 'Historical', 'Audiobook', 'War', 'Novels', 'World War I']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1470384630i/7315573.jpg,https://www.goodreads.com/book/show/7315573-fall-of-giants
Perfume: The Story of a Murderer,Patrick Sskind,4.04,"An alternative cover edition for this ISBN can be found here.An acclaimed bestseller and international sensation, Patrick Suskind's classic novel provokes a terrifying examination of what happens when one man's indulgence in his greatest passionhis sense of smellleads to murder.In the slums of eighteenth-century France, the infant Jean-Baptiste Grenouille is born with one sublime giftan absolute sense of smell. As a boy, he lives to decipher the odors of Paris, and apprentices himself to a prominent perfumer who teaches him the ancient art of mixing precious oils and herbs. But Grenouille's genius is such that he is not satisfied to stop there, and he becomes obsessed with capturing the smells of objects such as brass doorknobs and fresh-cut wood. Then one day he catches a hint of a scent that will drive him on an ever-more-terrifying quest to create the ""ultimate perfume""the scent of a beautiful young virgin. Told with dazzling narrative brilliance, Perfume is a hauntingly powerful tale of murder and sensual depravity.","['Fiction', 'Classics', 'Historical Fiction', 'Horror', 'Thriller', 'Mystery', 'Crime']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1409112276i/343.jpg,https://www.goodreads.com/book/show/343.Perfume
The English Patient,Michael Ondaatje,3.86,"With ravishing beauty and unsettling intelligence, Michael Ondaatje's Booker Prize-winning novel traces the intersection of four damaged lives in an Italian villa at the end of World War II. Hana, the exhausted nurse; the maimed thief, Caravaggio; the wary sapper, Kip: each is haunted by the riddle of the English patient, the nameless, burned man who lies in an upstairs room and whose memories of passion, betrayal,and rescue illuminates this book like flashes of heat lightening.","['Fiction', 'Historical Fiction', 'Classics', 'Romance', 'War', 'Historical', 'Canada']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1320527907i/11713.jpg,https://www.goodreads.com/book/show/11713.The_English_Patient
Katherine,Anya Seton,4.2,"This classic romance novel tells the true story of the love affair that changed historythat of Katherine Swynford and John of Gaunt, Duke of Lancaster, the ancestors of most of the British royal family. Set in the vibrant 14th century of Chaucer and the Black Death, the story features knights fighting in battle, serfs struggling in poverty, and the magnificent PlantagenetsEdward III, the Black Prince, and Richard IIwho ruled despotically over a court rotten with intrigue. Within this era of danger and romance, John of Gaunt, the kings son, falls passionately in love with the already married Katherine. Their well-documented affair and love persist through decades of war, adultery, murder, loneliness, and redemption. This epic novel of conflict, cruelty, and untamable love has become a classic since its first publication in 1954.","['Historical Fiction', 'Fiction', 'Romance', 'Historical', 'Classics', 'Medieval', 'British Literature']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1436406825i/33609.jpg,https://www.goodreads.com/book/show/33609.Katherine
The Sunne in Splendour,Sharon Kay Penman,4.4,"A glorious novel of the controversial Richard III - a monarch betrayed in life by his allies and betrayed in death by history.In this beautifully rendered modern classic, Sharon Kay Penman redeems Richard III - vilified as the bitter, twisted, scheminghunchback who murdered his nephews, the princes in the Tower - from his malignedplace in history with adazzling combination of research and storytelling.Born intothe treacherous courts of fifteenth-centuryEngland, in the midst of what history has called The War of the Roses, Richard was raised in the shadow of his charismatic brother, King Edward IV. Loyal to his friends and passionately in love with the one woman who was denied him, Richard emerges as a gifted man far more sinned against than sinning.This magnificent retelling of his life is filled with all of the sights and sounds of battle, the customs and lore of the fifteenth century, the rigors of court politics, and the passions and prejudices of royalty.","['Historical Fiction', 'Fiction', 'Historical', 'Medieval', 'British Literature', '15th Century', 'Romance']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1361649213i/119829.jpg,https://www.goodreads.com/book/show/119829.The_Sunne_in_Splendour
The Agony and the Ecstasy,Irving Stone,4.09,"Celebrating the 500th anniversary of Michelangelos David, New American Library releases a special edition of Irving Stones classic biographical novelin which both the artist and the man are brought to life in full. A masterpiece in its own right, this novel offers a compelling portrait of Michelangelos dangerous, impassioned loves, and the God-driven fury from which he wrested the greatest art the world has ever known.","['Historical Fiction', 'Fiction', 'Art', 'Classics', 'Italy', 'Historical', 'Art History']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327879079i/321552.jpg,https://www.goodreads.com/book/show/321552.The_Agony_and_the_Ecstasy
Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,4.28,"Folksy and fresh, endearing and affecting, Fried Green Tomatoes at the Whistle Stop Cafe is a now-classic novel about two women: Evelyn, who is in the sad slump of middle age, and gray-headed Mrs. Threadgoode, who is telling her life story. Her tale includes two more women, the irrepressibly daredevilish tomboy Idgie and her friend Ruth who back in the thirties ran a little place in Whistle Stop, Alabama, offering good coffee, southern barbecue, and all kinds of love and laughter, even an occasional murder. And as the past unfolds, the present will never be quite the same again.","['Fiction', 'Historical Fiction', 'Classics', 'LGBT', 'Queer', 'Historical', 'Chick Lit']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1165961740i/9375.jpg,https://www.goodreads.com/book/show/9375.Fried_Green_Tomatoes_at_the_Whistle_Stop_Cafe
The Scarlet Pimpernel,Emmuska Orczy,4.07,"Armed with only his wits and his cunning, one man recklessly defies the French revolutionaries and rescues scores of innocent men, women, and children from the deadly guillotine. His friends and foes know him only as the Scarlet Pimpernel. But the ruthless French agent Chauvelin is sworn to discover his identity and to hunt him down.","['Classics', 'Historical Fiction', 'Fiction', 'Adventure', 'Historical', 'Mystery', 'France']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1406764899i/136116.jpg,https://www.goodreads.com/book/show/136116.The_Scarlet_Pimpernel
Love in the Time of Cholera,Gabriel Garca Mrquez,3.94,"In their youth, Florentino Ariza and Fermina Daza fall passionately in love. When Fermina eventually chooses to marry a wealthy, well-born doctor, Florentino is heartbroken, but he is a romantic. As he rises in his business career he whiles away the years in 622 affairsyet he reserves his heart for Fermina. Her husband dies at last, and Florentino purposefully attends the funeral. Fifty years, nine months, and four days after he first declared his love for Fermina, he will do so again.","['Fiction', 'Historical Fiction', 'Magical Realism', 'Literature', 'Novels', 'Spanish Literature', 'Literary Fiction']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1644691354i/9712.jpg,https://www.goodreads.com/book/show/9712.Love_in_the_Time_of_Cholera
Wolf Hall,Hilary Mantel,3.91,"This is an alternative cover edition for ISBN 9780007230181England in the 1520s is a heartbeat from disaster. If the king dies without a male heir, the country could be destroyed by civil war. Henry VIII wants to annul his marriage of twenty years and marry Anne Boleyn. The pope and most of Europe opposes him. Into this impasse steps Thomas Cromwell: a wholly original man, a charmer and a bully, both idealist and opportunist, astute in reading people, and implacable in his ambition. But Henry is volatile: one day tender, one day murderous. Cromwell helps him break the opposition, but what will be the price of his triumph?","['Historical Fiction', 'Fiction', 'Historical', 'Audiobook', 'British Literature', 'Literary Fiction', 'Novels']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1627203575i/6101138.jpg,https://www.goodreads.com/book/show/6101138-wolf-hall
The Queen's Fool,Philippa Gregory,3.88,"A young woman caught in the rivalry between Queen Mary and her half sister, Elizabeth, must find her true destiny amid treason, poisonous rivalries, loss of faith, and unrequited love.It is winter, 1553. Pursued by the Inquisition, Hannah Green, a fourteen-year-old Jewish girl, is forced to flee Spain with her father. But Hannah is no ordinary refugee. Her gift of ""Sight,"" the ability to foresee the future, is priceless in the troubled times of the Tudor court. Hannah is adopted by the glamorous Robert Dudley, the charismatic son of King Edward's protector, who brings her to court as a ""holy fool"" for Queen Mary and, ultimately, Queen Elizabeth. Hired as a fool but working as a spy; promised in wedlock but in love with her master; endangered by the laws against heresy, treason, and witchcraft, Hannah must choose between the safe life of a commoner and the dangerous intrigues of the royal family that are inextricably bound up in her own yearnings and desires.Teeming with vibrant period detail and peopled by characters seamlessly woven into the sweeping tapestry of history, The Queen's Fool is another rich and emotionally resonant gem from this wonderful storyteller.","['Historical Fiction', 'Fiction', 'Historical', 'Romance', 'Tudor Period', 'British Literature', 'Adult']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1399204116i/252499.jpg,https://www.goodreads.com/book/show/252499.The_Queen_s_Fool
The Boleyn Inheritance,Philippa Gregory,3.91,"Three Women Who Share One Fate: The Boleyn InheritanceAnne of Cleves She runs from her tiny country, her hateful mother, and her abusive brother to a throne whose last three occupants are dead. King Henry VIII, her new husband, instantly dislikes her. Without friends, family, or even an understanding of the language being spoken around her, she must literally save her neck in a court ruled by a deadly game of politics and the terror of an unpredictable and vengeful king. Her Boleyn Inheritance: accusations and false witnesses.Katherine HowardShe catches the king's eye within moments of arriving at court, setting in motion the dreadful machine of politics, intrigue, and treason that she does not understand. She only knows that she is beautiful, that men desire her, that she is young and in love -- but not with the diseased old man who made her queen, beds her night after night, and killed her cousin Anne. Her Boleyn Inheritance: the threat of the axe.Jane RochfordShe is the Boleyn girl whose testimony sent her husband and sister-in-law to their deaths. She is the trusted friend of two threatened queens, the perfectly loyal spy for her uncle, the Duke of Norfolk, and a canny survivor in the murderous court of a most dangerous king. Throughout Europe, her name is a byword for malice, jealousy, and twisted lust. Her Boleyn Inheritance: a fortune and a title, in exchange for her soul.The Boleyn Inheritance is a novel drawn tight as a lute string about a court ruled by the gallows and three women whose positions brought them wealth, admiration, and power as well as deceit, betrayal, and terror. Once again, Philippa Gregory has brought a vanished world to life - the whisper of a silk skirt on a stone stair, the yellow glow of candlelight illuminating a hastily written note, the murmurs of the crowd gathering on Tower Green below the newly built scaffold. In The Boleyn Inheritance Gregory is at her intelligent and page-turning best.","['Historical Fiction', 'Fiction', 'Historical', 'Romance', 'Tudor Period', 'British Literature', 'Adult']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1409318443i/16180.jpg,https://www.goodreads.com/book/show/16180.The_Boleyn_Inheritance
